id,caption,qas
coco_781176,A motorcycle sits in a parking lot with other cars.,"[{""question"": ""what type of vehicle is this?"", ""answer"": ""motorcycle""}, {""question"": ""is this a parking lot?"", ""answer"": ""yes""}, {""question"": ""what type of place is this?"", ""answer"": ""parking lot""}, {""question"": ""are there cars?"", ""answer"": ""yes""}, {""question"": ""is the motorcycle sitting in the parking lot?"", ""answer"": ""yes""}, {""question"": ""is the motorcycle in the parking lot with other cars?"", ""answer"": ""yes""}]"
coco_287861,A wet dog standing on a beach next to the ocean.,"[{""question"": ""is this a dog?"", ""answer"": ""yes""}, {""question"": ""what animal is in the picture?"", ""answer"": ""dog""}, {""question"": ""is this a beach?"", ""answer"": ""yes""}, {""question"": ""what type of place is this?"", ""answer"": ""beach""}, {""question"": ""is there an ocean?"", ""answer"": ""yes""}, {""question"": ""is the dog standing?"", ""answer"": ""yes""}, {""question"": ""is the dog wet?"", ""answer"": ""yes""}, {""question"": ""is the dog wet or dry?"", ""answer"": ""wet""}, {""question"": ""is the dog next to the ocean?"", ""answer"": ""yes""}, {""question"": ""is the dog next to or in the ocean?"", ""answer"": ""next to""}]"
coco_754884,A man holding a baby whose petting a horse.,"[{""question"": ""is this a man?"", ""answer"": ""yes""}, {""question"": ""is this a baby?"", ""answer"": ""yes""}, {""question"": ""is this a horse?"", ""answer"": ""yes""}, {""question"": ""what animal is in the picture?"", ""answer"": ""horse""}, {""question"": ""is the man holding a baby?"", ""answer"": ""yes""}, {""question"": ""is the baby petting a horse?"", ""answer"": ""yes""}]"
coco_629098,some people standing around a bright lit up party bus ,"[{""question"": ""are there people standing around a party bus?"", ""answer"": ""yes""}, {""question"": ""who is standing around a party bus?"", ""answer"": ""people""}, {""question"": ""is this a party bus?"", ""answer"": ""yes""}, {""question"": ""what type of vehicle is this?"", ""answer"": ""party bus""}, {""question"": ""are the people standing around a party bus?"", ""answer"": ""yes""}, {""question"": ""is the party bus bright lit up?"", ""answer"": ""yes""}, {""question"": ""is the party bus bright lit up or dark?"", ""answer"": ""bright lit up""}, {""question"": ""are there some people?"", ""answer"": ""yes""}]"
coco_374276,A woman in white shirt holding up a cellphone.,"[{""question"": ""is this a woman?"", ""answer"": ""yes""}, {""question"": ""is the woman wearing a white shirt?"", ""answer"": ""yes""}, {""question"": ""what is the woman wearing?"", ""answer"": ""white shirt""}, {""question"": ""is the woman holding up a cellphone?"", ""answer"": ""yes""}, {""question"": ""what is the woman holding up?"", ""answer"": ""cellphone""}, {""question"": ""is the shirt white?"", ""answer"": ""yes""}, {""question"": ""what color is the shirt?"", ""answer"": ""white""}]"
coco_260592,A stop sign sitting on top of a metal column.,"[{""question"": ""is there a stop sign?"", ""answer"": ""yes""}, {""question"": ""what type of sign is this?"", ""answer"": ""stop sign""}, {""question"": ""is there a column?"", ""answer"": ""yes""}, {""question"": ""is the stop sign sitting on top of the column?"", ""answer"": ""yes""}, {""question"": ""is the column metal?"", ""answer"": ""yes""}, {""question"": ""what is the material of the column?"", ""answer"": ""metal""}, {""question"": ""is the stop sign on top of the column?"", ""answer"": ""yes""}, {""question"": ""is the stop sign on top of or under the column?"", ""answer"": ""on top of""}]"
coco_317050,A jouster rides on a horse through a field while an audience watches.,"[{""question"": ""is this a jouster?"", ""answer"": ""yes""}, {""question"": ""who is riding on a horse?"", ""answer"": ""jouster""}, {""question"": ""is this a horse?"", ""answer"": ""yes""}, {""question"": ""what animal is in the picture?"", ""answer"": ""horse""}, {""question"": ""is this a field?"", ""answer"": ""yes""}, {""question"": ""is there an audience?"", ""answer"": ""yes""}, {""question"": ""who is watching?"", ""answer"": ""audience""}, {""question"": ""is the jouster riding on the horse?"", ""answer"": ""yes""}, {""question"": ""is the jouster riding through the field?"", ""answer"": ""yes""}, {""question"": ""is the audience watching?"", ""answer"": ""yes""}, {""question"": ""what is the audience doing?"", ""answer"": ""watching""}]"
coco_544966,a glass vase with some flowers coming out of it ,"[{""question"": ""is there a vase?"", ""answer"": ""yes""}, {""question"": ""what type of container is this?"", ""answer"": ""vase""}, {""question"": ""are there flowers?"", ""answer"": ""yes""}, {""question"": ""are the flowers coming out of the vase?"", ""answer"": ""yes""}, {""question"": ""is the vase glass?"", ""answer"": ""yes""}, {""question"": ""what is the material of the vase?"", ""answer"": ""glass""}, {""question"": ""are there some flowers?"", ""answer"": ""yes""}]"
coco_541393,A guy wear a short khaki pants and brown tee is on a skate board.,"[{""question"": ""is this a guy?"", ""answer"": ""yes""}, {""question"": ""who is on a skate board?"", ""answer"": ""guy""}, {""question"": ""is the guy wearing short khaki pants?"", ""answer"": ""yes""}, {""question"": ""is the guy wearing a brown tee?"", ""answer"": ""yes""}, {""question"": ""is this a skate board?"", ""answer"": ""yes""}, {""question"": ""what type of vehicle is this?"", ""answer"": ""skate board""}, {""question"": ""is the guy wearing short khaki pants and a brown tee?"", ""answer"": ""yes""}, {""question"": ""is the guy on a skate board?"", ""answer"": ""yes""}, {""question"": ""are the pants khaki?"", ""answer"": ""yes""}, {""question"": ""what color are the pants?"", ""answer"": ""khaki""}, {""question"": ""is the tee brown?"", ""answer"": ""yes""}, {""question"": ""what color is the tee?"", ""answer"": ""brown""}]"
coco_685271,Person standing on the pack of a galloping horse.,"[{""question"": ""who is standing on the pack of a galloping horse?"", ""answer"": ""person""}, {""question"": ""is this a horse?"", ""answer"": ""yes""}, {""question"": ""what animal is in the picture?"", ""answer"": ""horse""}, {""question"": ""is the person standing on the pack of a galloping horse?"", ""answer"": ""yes""}, {""question"": ""is the horse galloping?"", ""answer"": ""yes""}, {""question"": ""what is the horse doing?"", ""answer"": ""galloping""}]"
coco_225397,A vase with various flowers in it sitting on a tiled counter.,"[{""question"": ""is there a vase with various flowers in it?"", ""answer"": ""yes""}, {""question"": ""what type of container is this?"", ""answer"": ""vase""}, {""question"": ""are there flowers in the vase?"", ""answer"": ""yes""}, {""question"": ""what is in the vase?"", ""answer"": ""flowers""}, {""question"": ""is there a counter?"", ""answer"": ""yes""}, {""question"": ""is the vase sitting on the counter?"", ""answer"": ""yes""}, {""question"": ""are there various flowers in the vase?"", ""answer"": ""yes""}, {""question"": ""is the counter tiled?"", ""answer"": ""yes""}, {""question"": ""is the counter tiled or painted?"", ""answer"": ""tiled""}]"
coco_147479,A bride and groom near their wedding cake.,"[{""question"": ""is this a bride?"", ""answer"": ""yes""}, {""question"": ""is this a wedding cake?"", ""answer"": ""yes""}, {""question"": ""what type of cake is this?"", ""answer"": ""wedding cake""}, {""question"": ""are the bride and groom near the wedding cake?"", ""answer"": ""yes""}]"
coco_315223,A man standing in front of the open door of a bus.,"[{""question"": ""is this a man?"", ""answer"": ""yes""}, {""question"": ""who is standing in front of the open door of a bus?"", ""answer"": ""man""}, {""question"": ""is this a bus?"", ""answer"": ""yes""}, {""question"": ""what type of vehicle is this?"", ""answer"": ""bus""}, {""question"": ""is the man standing?"", ""answer"": ""yes""}, {""question"": ""is the door of the bus open?"", ""answer"": ""yes""}, {""question"": ""is the door of the bus open or closed?"", ""answer"": ""open""}, {""question"": ""is the man standing in front of the open door of the bus?"", ""answer"": ""yes""}]"
coco_224305,The Big Ben clock tower towering over the city of London.,"[{""question"": ""is this the Big Ben clock tower?"", ""answer"": ""yes""}, {""question"": ""is this the city of London?"", ""answer"": ""yes""}, {""question"": ""is the Big Ben clock tower towering over the city of London?"", ""answer"": ""yes""}]"
coco_201871,A smoking jet going straight up in the sky.,"[{""question"": ""is this a jet?"", ""answer"": ""yes""}, {""question"": ""what type of vehicle is this?"", ""answer"": ""jet""}, {""question"": ""is this the sky?"", ""answer"": ""yes""}, {""question"": ""is the jet smoking?"", ""answer"": ""yes""}, {""question"": ""is the jet going straight up?"", ""answer"": ""yes""}, {""question"": ""what is the jet doing?"", ""answer"": ""going straight up""}]"
coco_576849,The batting line up is pinned on the fridge so everyone can see it,"[{""question"": ""is the batting line up pinned on the fridge?"", ""answer"": ""yes""}, {""question"": ""what is pinned on the fridge?"", ""answer"": ""batting line up""}, {""question"": ""is there a fridge?"", ""answer"": ""yes""}, {""question"": ""can everyone see the batting line up?"", ""answer"": ""yes""}]"
coco_702226,A group of people posing for a photograph at a black tie event.,"[{""question"": ""are there people posing for a photograph?"", ""answer"": ""yes""}, {""question"": ""is there a photograph?"", ""answer"": ""yes""}, {""question"": ""is this a black tie event?"", ""answer"": ""yes""}, {""question"": ""what type of place is this?"", ""answer"": ""black tie event""}, {""question"": ""are the people posing for a photograph?"", ""answer"": ""yes""}, {""question"": ""is this a group of people?"", ""answer"": ""yes""}, {""question"": ""is this a group or a single person?"", ""answer"": ""group""}]"
coco_322633,A man riding a wave on top of a surfboard.,"[{""question"": ""is this a man?"", ""answer"": ""yes""}, {""question"": ""is there a wave?"", ""answer"": ""yes""}, {""question"": ""is there a surfboard?"", ""answer"": ""yes""}, {""question"": ""what is the man riding on?"", ""answer"": ""surfboard""}, {""question"": ""is the man riding a wave?"", ""answer"": ""yes""}, {""question"": ""is the man riding on top of the surfboard?"", ""answer"": ""yes""}, {""question"": ""is the man on top of or under the surfboard?"", ""answer"": ""on top of""}]"
coco_257828,A boy is throwing a frisbee outside a building.,"[{""question"": ""is this a boy?"", ""answer"": ""yes""}, {""question"": ""who is throwing a frisbee?"", ""answer"": ""boy""}, {""question"": ""is there a frisbee?"", ""answer"": ""yes""}, {""question"": ""what is the boy throwing?"", ""answer"": ""frisbee""}, {""question"": ""is the boy throwing a frisbee?"", ""answer"": ""yes""}, {""question"": ""is the boy throwing a frisbee outside a building?"", ""answer"": ""yes""}, {""question"": ""is the boy outside or inside of the building?"", ""answer"": ""outside""}]"
coco_414886,Two people under an umbrella standing in the rain. ,"[{""question"": ""are there people under the umbrella?"", ""answer"": ""yes""}, {""question"": ""who is under the umbrella?"", ""answer"": ""people""}, {""question"": ""is there an umbrella?"", ""answer"": ""yes""}, {""question"": ""what is the people under?"", ""answer"": ""umbrella""}, {""question"": ""is it raining?"", ""answer"": ""yes""}, {""question"": ""are the people standing?"", ""answer"": ""yes""}, {""question"": ""are there two people?"", ""answer"": ""yes""}, {""question"": ""how many people are there?"", ""answer"": ""2""}, {""question"": ""are the people under the umbrella?"", ""answer"": ""yes""}]"
coco_245363,A logged on laptop sitting on a table.,"[{""question"": ""is this a laptop?"", ""answer"": ""yes""}, {""question"": ""what type of computer is this?"", ""answer"": ""laptop""}, {""question"": ""is there a table?"", ""answer"": ""yes""}, {""question"": ""what type of furniture is this?"", ""answer"": ""table""}, {""question"": ""is the laptop logged on?"", ""answer"": ""yes""}, {""question"": ""is the laptop sitting on the table?"", ""answer"": ""yes""}]"
coco_107261,The little boy is having fun playing at the computer keybord,"[{""question"": ""is this a little boy?"", ""answer"": ""yes""}, {""question"": ""who is playing at the computer keybord?"", ""answer"": ""little boy""}, {""question"": ""is there a computer keybord?"", ""answer"": ""yes""}, {""question"": ""what type of device is this?"", ""answer"": ""computer keybord""}, {""question"": ""is the little boy playing at the computer keybord?"", ""answer"": ""yes""}, {""question"": ""what is the little boy doing at the computer keybord?"", ""answer"": ""playing""}]"
coco_24832,a red blue and yellow train and some people on a platform,"[{""question"": ""is this a train?"", ""answer"": ""yes""}, {""question"": ""what type of vehicle is this?"", ""answer"": ""train""}, {""question"": ""are there people on the platform?"", ""answer"": ""yes""}, {""question"": ""is there a platform?"", ""answer"": ""yes""}, {""question"": ""what type of place is this?"", ""answer"": ""platform""}, {""question"": ""is the train red blue and yellow?"", ""answer"": ""yes""}, {""question"": ""what color is the train?"", ""answer"": ""red blue and yellow""}, {""question"": ""are there some people?"", ""answer"": ""yes""}]"
coco_634711,Brown dog lying on unmade bed in bedroom of home.,"[{""question"": ""is this a dog?"", ""answer"": ""yes""}, {""question"": ""what type of furniture is this?"", ""answer"": ""bed""}, {""question"": ""is this a bedroom?"", ""answer"": ""yes""}, {""question"": ""is the dog lying on the bed?"", ""answer"": ""yes""}, {""question"": ""is the dog brown?"", ""answer"": ""yes""}, {""question"": ""what color is the dog?"", ""answer"": ""brown""}, {""question"": ""is the bed unmade?"", ""answer"": ""yes""}, {""question"": ""is the bed unmade or made?"", ""answer"": ""unmade""}]"
coco_423214,Two zebra standing next to each other on a field.,"[{""question"": ""are there zebras?"", ""answer"": ""yes""}, {""question"": ""what animals are in the picture?"", ""answer"": ""zebra""}, {""question"": ""is this a field?"", ""answer"": ""yes""}, {""question"": ""what type of place is this?"", ""answer"": ""field""}, {""question"": ""are the zebras standing?"", ""answer"": ""yes""}, {""question"": ""are there two zebras?"", ""answer"": ""yes""}, {""question"": ""how many zebras are in the picture?"", ""answer"": ""2""}, {""question"": ""are the zebras next to each other?"", ""answer"": ""yes""}, {""question"": ""are the zebras next to each other or far away from each other?"", ""answer"": ""next to each other""}]"
coco_286371,A room with a movie screen and a lot of graffiti.,"[{""question"": ""is this a room?"", ""answer"": ""yes""}, {""question"": ""is there a movie screen?"", ""answer"": ""yes""}, {""question"": ""what type of screen is this?"", ""answer"": ""movie screen""}, {""question"": ""is there graffiti?"", ""answer"": ""yes""}, {""question"": ""what type of art is this?"", ""answer"": ""graffiti""}, {""question"": ""is there a lot of graffiti?"", ""answer"": ""yes""}]"
coco_68021,"A small, white chamber contains various devices and doors.","[{""question"": ""is this a chamber?"", ""answer"": ""yes""}, {""question"": ""are there devices in the chamber?"", ""answer"": ""yes""}, {""question"": ""are there doors in the chamber?"", ""answer"": ""yes""}, {""question"": ""does the chamber contain various devices and doors?"", ""answer"": ""yes""}, {""question"": ""is the chamber white?"", ""answer"": ""yes""}, {""question"": ""what color is the chamber?"", ""answer"": ""white""}, {""question"": ""is the chamber small?"", ""answer"": ""yes""}]"
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"[{""question"": ""is there a traffic light?"", ""answer"": ""yes""}, {""question"": ""is there a signpost?"", ""answer"": ""yes""}, {""question"": ""is this a crossroads intersection?"", ""answer"": ""yes""}, {""question"": ""what type of place is this?"", ""answer"": ""crossroads intersection""}, {""question"": ""is the crossroads intersection near a waterway?"", ""answer"": ""yes""}, {""question"": ""is the crossroads intersection near or far from the waterway?"", ""answer"": ""near""}]"
coco_91229,an image of a cat sitting on top of the desk area,"[{""question"": ""is this a cat?"", ""answer"": ""yes""}, {""question"": ""what animal is in the picture?"", ""answer"": ""cat""}, {""question"": ""is there a desk?"", ""answer"": ""yes""}, {""question"": ""is the cat sitting?"", ""answer"": ""yes""}, {""question"": ""is the cat sitting on top of the desk?"", ""answer"": ""yes""}, {""question"": ""is the cat on top of the desk or under it?"", ""answer"": ""on top of""}]"
coco_776530,a small bird sits on top of a book page ,"[{""question"": ""is this a bird?"", ""answer"": ""yes""}, {""question"": ""what animal is in the picture?"", ""answer"": ""bird""}, {""question"": ""is there a book page?"", ""answer"": ""yes""}, {""question"": ""is the bird sitting?"", ""answer"": ""yes""}, {""question"": ""is the bird small?"", ""answer"": ""yes""}, {""question"": ""is the bird on top of the book page?"", ""answer"": ""yes""}, {""question"": ""is the bird on top of or under the book page?"", ""answer"": ""on top of""}]"
coco_242412,A street sign with flags on it and a building in the background.,"[{""question"": ""is there a street sign?"", ""answer"": ""yes""}, {""question"": ""are there flags on the street sign?"", ""answer"": ""yes""}, {""question"": ""what is on the street sign?"", ""answer"": ""flags""}, {""question"": ""is there a building in the background?"", ""answer"": ""yes""}]"
coco_688939,A large green bird feeder with a bird on it.,"[{""question"": ""is this a bird feeder?"", ""answer"": ""yes""}, {""question"": ""what type of object is this?"", ""answer"": ""bird feeder""}, {""question"": ""is there a bird on the bird feeder?"", ""answer"": ""yes""}, {""question"": ""what animal is in the picture?"", ""answer"": ""bird""}, {""question"": ""is the bird feeder green?"", ""answer"": ""yes""}, {""question"": ""what color is the bird feeder?"", ""answer"": ""green""}, {""question"": ""is the bird feeder large?"", ""answer"": ""yes""}, {""question"": ""is the bird feeder large or small?"", ""answer"": ""large""}]"
coco_634344,A toddler in a pink shirt sits on the lap of a woman.,"[{""question"": ""is this a toddler?"", ""answer"": ""yes""}, {""question"": ""is the toddler wearing a pink shirt?"", ""answer"": ""yes""}, {""question"": ""what is the toddler wearing?"", ""answer"": ""pink shirt""}, {""question"": ""is this a woman?"", ""answer"": ""yes""}, {""question"": ""is the toddler sitting on the lap of a woman?"", ""answer"": ""yes""}, {""question"": ""is the shirt pink?"", ""answer"": ""yes""}, {""question"": ""what color is the shirt?"", ""answer"": ""pink""}]"
coco_407185,A double decker bus driving down a street.,"[{""question"": ""is this a bus?"", ""answer"": ""yes""}, {""question"": ""is this a street?"", ""answer"": ""yes""}, {""question"": ""is the bus driving?"", ""answer"": ""yes""}, {""question"": ""is this a double decker bus?"", ""answer"": ""yes""}, {""question"": ""is this a double decker bus or a single decker bus?"", ""answer"": ""double decker""}]"
coco_604256,A mountain goat stands on top of a rock on a hill.,"[{""question"": ""is this a mountain goat?"", ""answer"": ""yes""}, {""question"": ""what animal is in the picture?"", ""answer"": ""mountain goat""}, {""question"": ""is there a rock?"", ""answer"": ""yes""}, {""question"": ""is this a hill?"", ""answer"": ""yes""}, {""question"": ""is the mountain goat standing on top of the rock?"", ""answer"": ""yes""}]"
coco_770082,A square of cheesecake on a marble cutting board with a two-pronged fork.,"[{""question"": ""is there a square of cheesecake?"", ""answer"": ""yes""}, {""question"": ""what type of food is this?"", ""answer"": ""cheesecake""}, {""question"": ""is there a cutting board?"", ""answer"": ""yes""}, {""question"": ""what type of object is this?"", ""answer"": ""cutting board""}, {""question"": ""is there a fork?"", ""answer"": ""yes""}, {""question"": ""what type of utensil is this?"", ""answer"": ""fork""}, {""question"": ""is the cheesecake square?"", ""answer"": ""yes""}, {""question"": ""what shape is the cheesecake?"", ""answer"": ""square""}, {""question"": ""is the cutting board marble?"", ""answer"": ""yes""}, {""question"": ""what is the material of the cutting board?"", ""answer"": ""marble""}, {""question"": ""is the fork two-pronged?"", ""answer"": ""yes""}]"
coco_752831,Some food that is on a glass plate.,"[{""question"": ""is there food on the glass plate?"", ""answer"": ""yes""}, {""question"": ""is there a glass plate?"", ""answer"": ""yes""}, {""question"": ""what type of container is this?"", ""answer"": ""glass plate""}]"
coco_354900,A stop sign with dirty edges at a cross walk of a street.,"[{""question"": ""is there a stop sign?"", ""answer"": ""yes""}, {""question"": ""what type of sign is this?"", ""answer"": ""stop sign""}, {""question"": ""is this a cross walk?"", ""answer"": ""yes""}, {""question"": ""is this a street?"", ""answer"": ""yes""}, {""question"": ""are the edges of the stop sign dirty?"", ""answer"": ""yes""}]"
coco_152829,A woman is showing a watermelon slice to a woman on a scooter.,"[{""question"": ""is this a woman?"", ""answer"": ""yes""}, {""question"": ""is there a watermelon slice?"", ""answer"": ""yes""}, {""question"": ""what is the woman showing to a woman on a scooter?"", ""answer"": ""watermelon slice""}, {""question"": ""is there a woman on a scooter?"", ""answer"": ""yes""}, {""question"": ""who is on a scooter?"", ""answer"": ""woman""}, {""question"": ""is there a scooter?"", ""answer"": ""yes""}, {""question"": ""what vehicle is one of the woman on?"", ""answer"": ""scooter""}, {""question"": ""is the woman showing a watermelon slice to another woman?"", ""answer"": ""yes""}, {""question"": ""is one of the woman on a scooter?"", ""answer"": ""yes""}]"
coco_339102,"A white milk truck with a license plate that reads ""pro milk.""","[{""question"": ""is this a milk truck?"", ""answer"": ""yes""}, {""question"": ""is there a license plate on the vehicle?"", ""answer"": ""yes""}, {""question"": ""is the truck white?"", ""answer"": ""yes""}, {""question"": ""what color is the truck?"", ""answer"": ""white""}, {""question"": ""does the license plate read \""pro milk\""?"", ""answer"": ""yes""}]"
coco_32595,A train is rounding the train tracks next to the trees.,"[{""question"": ""is this a train?"", ""answer"": ""yes""}, {""question"": ""what type of vehicle is this?"", ""answer"": ""train""}, {""question"": ""are there train tracks?"", ""answer"": ""yes""}, {""question"": ""are there trees?"", ""answer"": ""yes""}, {""question"": ""what type of plant is this?"", ""answer"": ""trees""}, {""question"": ""is the train rounding the train tracks?"", ""answer"": ""yes""}, {""question"": ""are the trees next to the train tracks?"", ""answer"": ""yes""}]"
coco_581321,Woman working with large assortment of baked goods at kitchen table.,"[{""question"": ""is this a woman?"", ""answer"": ""yes""}, {""question"": ""who is working with large assortment of baked goods?"", ""answer"": ""woman""}, {""question"": ""are there baked goods?"", ""answer"": ""yes""}, {""question"": ""what type of food is this?"", ""answer"": ""baked goods""}, {""question"": ""is there a kitchen table?"", ""answer"": ""yes""}, {""question"": ""what type of furniture is this?"", ""answer"": ""kitchen table""}, {""question"": ""is the woman working with large assortment of baked goods?"", ""answer"": ""yes""}, {""question"": ""is there a large assortment of baked goods?"", ""answer"": ""yes""}, {""question"": ""is there a large or a small assortment of baked goods?"", ""answer"": ""large""}]"
coco_545502,a laptop and three cellphones on a yellow table,"[{""question"": ""is there a laptop on the table?"", ""answer"": ""yes""}, {""question"": ""what type of computer is this?"", ""answer"": ""laptop""}, {""question"": ""are there cellphones on the table?"", ""answer"": ""yes""}, {""question"": ""is there a table?"", ""answer"": ""yes""}, {""question"": ""what type of furniture is this?"", ""answer"": ""table""}, {""question"": ""is the table yellow?"", ""answer"": ""yes""}, {""question"": ""what color is the table?"", ""answer"": ""yellow""}, {""question"": ""are there three cellphones?"", ""answer"": ""yes""}, {""question"": ""how many cellphones are on the table?"", ""answer"": ""3""}]"
coco_44320,A piece of chocolate cake sits on a plate with a fork.,"[{""question"": ""is there a piece of chocolate cake?"", ""answer"": ""yes""}, {""question"": ""is there a plate?"", ""answer"": ""yes""}, {""question"": ""what type of container is this?"", ""answer"": ""plate""}, {""question"": ""is there a fork?"", ""answer"": ""yes""}, {""question"": ""what type of utensil is this?"", ""answer"": ""fork""}, {""question"": ""is the piece of chocolate cake sitting on the plate?"", ""answer"": ""yes""}]"
coco_773742,People are holding wine glasses next to each other.,"[{""question"": ""are there people holding wine glasses?"", ""answer"": ""yes""}, {""question"": ""are there wine glasses?"", ""answer"": ""yes""}, {""question"": ""are the people holding wine glasses?"", ""answer"": ""yes""}, {""question"": ""are the people holding wine glasses next to each other?"", ""answer"": ""yes""}, {""question"": ""are the people holding wine glasses next to each other or far away from each other?"", ""answer"": ""next to each other""}]"
